run_id,run1,run2,run3,run4,runtime
14-False-5-1-mae-adam-1,1.818761942,1.803571758,1.462049779,2.097320509,14.7436
14-False-5-1-mae-adam-10,3.472642442,2.38149005,1.691594246,2.444680174,23.55608225
14-False-5-1-mae-sgd-1,1.755724053,1.795501492,1.581800688,2.177735991,70.64824605
14-False-5-1-mae-sgd-10,2.670311091,2.068152148,2.03413884,2.508563839,31.67611027
14-False-5-10-mae-adam-1,1.127767032,0.967517851,1.070944909,1.317544963,531.1498802
14-False-5-10-mae-adam-10,1.359349512,1.413039801,1.478502519,1.925539187,87.27631211
14-False-5-10-mae-sgd-1,1.138508732,1.151696654,1.165491424,1.457280681,564.5660107
14-False-5-10-mae-sgd-10,1.515701293,1.375075455,1.514591165,1.869406044,93.81633306
14-False-5-30-mae-adam-1,0.916952465,0.839046429,1.011680707,1.169734578,1614.126257
14-False-5-30-mae-adam-10,1.176697645,1.086702277,1.196049059,1.461246625,205.5288212
14-False-5-30-mae-sgd-1,0.88830813,0.953311602,1.058736555,1.20927717,1582.626525
14-False-5-30-mae-sgd-10,1.273434386,1.067645421,1.207414306,1.482267331,215.5810933
14-False-10-1-mae-adam-1,1.589733943,1.4964817,1.546932988,2.183855497,114.7566366
14-False-10-1-mae-adam-10,2.1400563,1.748793605,1.898461029,2.119987245,72.43239522
14-False-10-1-mae-sgd-1,1.547110241,1.360713025,1.523295808,1.908170115,122.8446639
14-False-10-1-mae-sgd-10,1.89888406,2.14829024,1.644024202,2.284569672,82.41247582
14-False-10-10-mae-adam-1,1.276067586,0.891632737,1.133820922,1.2867776,607.2232997
14-False-10-10-mae-adam-10,1.377534226,1.18661801,1.28967629,1.711137964,141.188781
14-False-10-10-mae-sgd-1,1.007063641,0.942342933,1.171464985,1.18990177,631.3840261
14-False-10-10-mae-sgd-10,1.369196833,1.126745659,1.290695909,1.626011787,151.0088491
14-False-10-30-mae-adam-1,0.910236211,0.921041913,0.837337413,1.210899996,1834.298041
14-False-10-30-mae-adam-10,1.01241356,0.876123786,1.19820352,1.228893604,293.7093408
14-False-10-30-mae-sgd-1,0.98784708,0.807322372,0.887212401,1.175306235,1897.532365
14-False-10-30-mae-sgd-10,1.00148639,0.886448938,0.960427571,1.301199034,329.1294708
14-False-30-1-mae-adam-1,1.392178543,1.20629006,1.395318384,1.818085771,212.8329482
14-False-30-1-mae-adam-10,1.603476298,1.49907152,1.544051504,2.101242008,171.0327604
14-False-30-1-mae-sgd-1,1.287664071,1.154516687,1.290000786,1.646679422,229.2210166
14-False-30-1-mae-sgd-10,1.684691769,1.612458692,1.513681776,2.067637621,147.3246524
14-False-30-10-mae-adam-1,0.879960162,0.809157625,0.845594893,1.340640876,805.767554
